quarter,date_q,date_q_str,nv_total_collect,nv_sales_collect,50_total_collect
2008-09-30,2008Q3,2008q3,-0.013859647,-0.011074005,0.009990773
2008-12-31,2008Q4,2008q4,-0.041803753,-0.034378088,-0.007963981
2009-03-31,2009Q1,2009q1,-0.04828231,-0.079005077,-0.03989635
2009-06-30,2009Q2,2009q2,-0.07981157,-0.14986297,-0.091521255
2009-09-30,2009Q3,2009q3,-0.082651408,-0.157675128,-0.113878728
2009-12-31,2009Q4,2009q4,-0.084577385,-0.191354022,-0.11840157
2010-03-31,2010Q1,2010q1,-0.094541413,-0.187584488,-0.110856434
2010-06-30,2010Q2,2010q2,-0.099481312,-0.180058406,-0.104652808
2010-09-30,2010Q3,2010q3,-0.107883955,-0.173518646,-0.094040507
2010-12-31,2010Q4,2010q4,-0.118383982,-0.162466233,-0.078093662
2011-03-31,2011Q1,2011q1,-0.115047604,-0.148850358,-0.060227641
2011-06-30,2011Q2,2011q2,-0.064993338,-0.066009507,-0.037283868
2011-09-30,2011Q3,2011q3,-0.054582857,-0.052647506,-0.030072382
2011-12-31,2011Q4,2011q4,-0.05604708,-0.005161143,-0.028106165
2012-03-31,2012Q1,2012q1,-0.075880341,-0.018867359,-0.025000631
2012-06-30,2012Q2,2012q2,-0.080907548,-0.004040282,-0.021865332
2012-09-30,2012Q3,2012q3,-0.085523022,-0.008599194,-0.019705765
2012-12-31,2012Q4,2012q4,-0.080180434,-0.009453247,-0.013070811
2013-03-31,2013Q1,2013q1,-0.046063304,0.047443397,0.000858303
2013-06-30,2013Q2,2013q2,-0.037064041,0.055844472,0.020519276
2013-09-30,2013Q3,2013q3,-0.038306832,0.047671565,0.024242437
2013-12-31,2013Q4,2013q4,-0.031043569,0.044325112,0.023035439
2014-03-31,2014Q1,2014q1,-0.031598112,0.040809878,0.016430722
2014-06-30,2014Q2,2014q2,-0.05686147,0.043844366,0.004463365
2014-09-30,2014Q3,2014q3,-0.061064683,0.03857589,0.006474162
2014-12-31,2014Q4,2014q4,-0.047529616,0.04813289,0.012277427
2015-03-31,2015Q1,2015q1,-0.043387388,0.056363811,0.01791416
2015-06-30,2015Q2,2015q2,-0.024201317,0.067167077,0.029022441
2015-09-30,2015Q3,2015q3,-0.016952241,0.06416326,0.029566225
2015-12-31,2015Q4,2015q4,-0.011468789,0.065663598,0.02652947
2016-03-31,2016Q1,2016q1,-4.28e-05,0.065349997,0.021762139
2016-06-30,2016Q2,2016q2,0.015977923,0.075565131,0.008893337
2016-09-30,2016Q3,2016q3,0.058033087,0.150152432,0.004892573
2016-12-31,2016Q4,2016q4,0.062290178,0.14753255,0.000177416
2017-03-31,2017Q1,2017q1,0.059531146,0.136135258,-0.000348717
2017-06-30,2017Q2,2017q2,0.062579787,0.133472549,-0.000677581
2017-09-30,2017Q3,2017q3,0.056003627,0.120935133,0.001690067
2017-12-31,2017Q4,2017q4,0.057607853,0.116487839,0.014951205
2018-03-31,2018Q1,2018q1,0.062625696,0.120024802,0.027174092
2018-06-30,2018Q2,2018q2,0.075430347,0.112364145,0.0407056
2018-09-30,2018Q3,2018q3,0.067965459,0.100306348,0.048770655
2018-12-31,2018Q4,2018q4,0.069922626,0.099313694,0.038530642
2019-03-31,2019Q1,2019q1,0.079383406,0.099609851,0.035803762
2019-06-30,2019Q2,2019q2,0.086876627,0.112731727,0.055311761
2019-09-30,2019Q3,2019q3,0.085939035,0.109396254,0.057957428
2019-12-31,2019Q4,2019q4,0.089977874,0.112910368,0.060197165
2020-03-31,2020Q1,2020q1,0.069263494,0.084928638,0.058588204
2020-06-30,2020Q2,2020q2,-0.013351742,-0.000642979,-0.024971785
2020-09-30,2020Q3,2020q3,-0.033731789,-0.022723276,0.013238362
2020-12-31,2020Q4,2020q4,-0.05810919,-0.050861005,0.017921554
2021-03-31,2021Q1,2021q1,-0.073337371,-0.034946467,0.027740115
2021-06-30,2021Q2,2021q2,0.033846646,0.075359529,0.13351176
2021-09-30,2021Q3,2021q3,0.080223956,0.084586239,0.103794247
2021-12-31,2021Q4,2021q4,0.12332463,0.105952893,0.126862618
2022-03-31,2022Q1,2022q1,0.157162762,0.109821016,0.147711747
2022-06-30,2022Q2,2022q2,0.176684507,0.098486134,0.149842628
2022-09-30,2022Q3,2022q3,0.151345019,0.078352293,0.129340844
2022-12-31,2022Q4,2022q4,0.127349096,0.062244656,0.09562809
2023-03-31,2023Q1,2023q1,0.108393529,0.042388325,0.050585336
2023-06-30,2023Q2,2023q2,0.052935508,0.017900135,-0.011654449
